ファイル,行番号,クラス,型,修飾子,戻り値の型,メソッド名,引数
TestClass.java,22,TestClass,constructor,private,,TestClass,
TestClass.java,30,TestClass,constructor,public,,TestClass,"String name, int age"
TestClass.java,56,TestClass,interface_method,"public, private",void,printMessage,String message
TestClass.java,63,TestClass,interface_method,"public, static",int,calculateSum,"int a, int b"
TestClass.java,250,TestClass,interface_method,,void,defaultMethod,
TestClass.java,257,TestClass,interface_method,default,void,staticMethod,
TestClass.java,264,TestClass,interface_method,static,String,processString,String input
TestClass.java,21,TestClass,method,private,public,TestClass,
TestClass.java,29,TestClass,method,public,public,TestClass,"String name, int age"
TestClass.java,41,TestClass,method,,String,getName,
TestClass.java,48,TestClass,method,public,void,setName,String name
TestClass.java,55,TestClass,method,"public, private",void,printMessage,String message
TestClass.java,62,TestClass,method,"public, static",int,calculateSum,"int a, int b"
TestClass.java,69,TestClass,method,"public, static, final",void,processData,String data
TestClass.java,80,TestClass,method,,void,doSomething,
TestClass.java,87,TestClass,method,public,int,getAge,
TestClass.java,94,TestClass,method,public,String,getFullName,
TestClass.java,101,TestClass,method,public,int[],getNumbers,
TestClass.java,108,TestClass,method,public,List<String>,getItems,
TestClass.java,115,TestClass,method,public,"Map<String, List<Integer>>",getComplexData,
TestClass.java,126,TestClass,method,,void,noParameters,
TestClass.java,133,TestClass,method,public,void,singleParameter,String param
TestClass.java,140,TestClass,method,public,void,multipleParameters,"String name, int age, boolean active"
TestClass.java,147,TestClass,method,public,void,varArgs,String... args
TestClass.java,156,TestClass,method,public,void,genericMethod,List<T> items
TestClass.java,163,TestClass,method,public,void,complexParameters,"Map<String, List<Integer>> data, String name"
TestClass.java,183,TestClass,method,abstract,void,synchronizedMethod,
TestClass.java,203,TestClass,method,native,void,finalMethod,
TestClass.java,214,TestClass,method,,double,strictfpMethod,double value
TestClass.java,225,TestClass,method,,TestClass,setNameChain,String name
TestClass.java,249,TestClass,method,,void,defaultMethod,
TestClass.java,256,TestClass,method,default,void,staticMethod,
TestClass.java,263,TestClass,method,static,String,processString,String input
TestClass.java,281,TestClass,method,"public, abstract",void,concreteMethod,
